,college,college_code,type,tier,tier_code,province,province_code,city,city_code,qual_student_standardized,qual_graduate_standardized,qual_reputation_standardized,qual_research_standardized,grad_sch,col_985,col_211,first_tier
0,北京大学,4111010001,综合类,本科,tier_4,北京市,11,北京市,1101,2.4571043,0.36025816,1.599493,1.8969034,1,1,1,1
1,中国人民大学,4111010002,综合类,本科,tier_4,北京市,11,北京市,1101,2.0847323,0.34874395,1.0102742,0.96257632,1,1,1,1
2,清华大学,4111010003,理工类,本科,tier_4,北京市,11,北京市,1101,2.6964863,0.36601526,1.7429115,2.1764357,1,1,1,1
3,北京交通大学,4111010004,理工类,本科,tier_4,北京市,11,北京市,1101,0.93436878,0.39375403,0.83675624,-0.25128302,1,0,1,1
4,北京工业大学,4111010005,理工类,本科,tier_4,北京市,11,北京市,1101,0.52209979,0.44923157,0.19118898,-0.66483762,0,0,1,1
5,北京航空航天大学,4111010006,理工类,本科,tier_4,北京市,11,北京市,1101,1.7256593,0.42567978,0.98403945,0.50307121,1,1,1,1
6,北京理工大学,4111010007,理工类,本科,tier_4,北京市,11,北京市,1101,1.5062258,0.38328657,1.0205915,0.27714786,1,1,1,1
7,北京科技大学,4111010008,理工类,本科,tier_4,北京市,11,北京市,1101,0.95431728,0.23046165,0.83821342,-0.01004283,1,0,1,1
8,北方工业大学,4111010009,理工类,本科,tier_4,北京市,11,北京市,1101,-0.6149647,0.38590344,-1.6633902,-0.79885994,0,0,0,0
9,北京化工大学,4111010010,理工类,本科,tier_4,北京市,11,北京市,1101,0.50880079,0.41730582,0.66322988,1.1616952,0,0,1,1
10,北京工商大学,4111010011,财经类,本科,tier_4,北京市,11,北京市,1101,-0.24259271,0.41468895,-0.044764,-0.61888711,0,0,0,0
11,北京邮电大学,4111010013,理工类,本科,tier_4,北京市,11,北京市,1101,1.2468953,0.45132506,0.80494755,0.0856874,1,0,1,1
12,北京印刷学院,4111010015,理工类,本科,tier_4,北京市,11,北京市,1101,-1.4262037,0.32100518,-1.6633902,-0.71461734,0,0,0,0
13,北京建筑大学,4111010016,理工类,本科,tier_4,北京市,11,北京市,1101,-0.44872721,0.29693002,-1.6633902,-0.78354311,0,0,0,0
14,中国农业大学,4111010019,农业类,本科,tier_4,北京市,11,北京市,1101,0.76813129,0.35293094,0.92821249,0.90130897,1,1,1,1
15,北京林业大学,4111010022,林业类,本科,tier_4,北京市,11,北京市,1101,0.56864629,0.24982645,0.59781882,-0.10194386,1,0,1,1
16,北京中医药大学,4111010026,医药类,本科,tier_4,北京市,11,北京市,1101,0.68168779,0.2508732,-1.6633902,-0.51166925,0,0,1,1
17,北京外国语大学,4111010030,语言类,本科,tier_4,北京市,11,北京市,1101,1.4862773,0.29378979,0.66322988,-1.0362709,0,0,1,1
18,中国传媒大学,4111010033,语言类,本科,tier_4,北京市,11,北京市,1101,1.0873073,0.3110611,0.68306622,-1.1205135,0,0,1,1
19,中央财经大学,4111010034,财经类,本科,tier_4,北京市,11,北京市,1101,1.7123603,0.27547173,0.63390738,0.2120513,0,0,1,1
20,首都经济贸易大学,4111010038,财经类,本科,tier_4,北京市,11,北京市,1101,0.21622279,0.47906383,0.16976574,0.52604646,0,0,0,0
21,北京体育大学,4111010043,体育类,本科,tier_4,北京市,11,北京市,1101,0.03668629,0.08862757,-1.6633902,-0.82566441,0,0,1,1
22,中央民族大学,4111010052,民族类,本科,tier_4,北京市,11,北京市,1101,0.68833729,-0.02128076,0.44272755,0.69836088,0,1,1,1
23,中国政法大学,4111010053,政法类,本科,tier_4,北京市,11,北京市,1101,1.4197823,0.25610693,0.67107089,-1.3081448,0,0,1,1
24,华北电力大学,4111010054,理工类,本科,tier_4,北京市,11,北京市,1101,0.68168779,0.32676229,0.75957914,0.48392516,1,0,1,1
25,北京信息科技大学,4111011232,理工类,本科,tier_4,北京市,11,北京市,1101,-0.6349132,0.46650288,-1.6633902,-1.3081448,0,0,0,0
26,中国矿业大学（北京）,4111011413,综合类,本科,tier_4,北京市,11,北京市,1101,0.30266629,0.45289518,-0.29132521,-0.26277065,1,0,1,0
27,中国石油大学（北京）,4111011414,理工类,本科,tier_4,北京市,11,北京市,1101,0.00343879,0.18545158,0.20733329,-0.37381771,1,0,1,0
28,中国地质大学（北京）,4111011415,综合类,本科,tier_4,北京市,11,北京市,1101,0.37581079,0.21423709,-0.044764,0.97789316,1,0,1,0
29,南开大学,4112010055,综合类,本科,tier_4,天津市,12,天津市,1201,1.7589068,0.34822058,1.0480205,2.329604,1,1,1,1
30,天津大学,4112010056,理工类,本科,tier_4,天津市,12,天津市,1201,1.5328238,0.35031407,1.2567387,0.64092274,1,1,1,1
31,天津科技大学,4112010057,理工类,本科,tier_4,天津市,12,天津市,1201,-0.9673882,0.2236578,-1.6633902,-0.29340432,0,0,0,0
32,天津工业大学,4112010058,理工类,本科,tier_4,天津市,12,天津市,1201,-0.8476972,0.21737733,-1.6633902,-0.12874832,0,0,0,1
33,中国民航大学,4112010059,理工类,本科,tier_4,天津市,12,天津市,1201,-0.23594321,0.28436907,0.7410851,-0.94054069,0,0,0,0
34,天津医科大学,4112010062,医药类,本科,tier_4,天津市,12,天津市,1201,0.84127579,-0.02913136,-1.6633902,-0.00621362,0,0,1,1
35,天津师范大学,4112010065,师范类,本科,tier_4,天津市,12,天津市,1201,-0.7413052,0.16032967,-1.6633902,0.49158358,0,0,0,0
36,天津外国语大学,4112010068,语言类,本科,tier_4,天津市,12,天津市,1201,-0.15614921,-4.6863189,0.16846022,-3.3644301,0,0,0,0
37,天津财经大学,4112010070,财经类,本科,tier_4,天津市,12,天津市,1201,0.44230579,0.28175221,-1.6633902,-0.92905306,0,0,0,0
38,河北工业大学,4113010080,理工类,本科,tier_4,天津市,12,天津市,1201,0.56199679,0.18335808,-1.6633902,-0.88693176,0,0,1,1
39,华北理工大学,4113010081,综合类,本科,tier_4,河北省,13,唐山市,1302,-0.7280062,0.28698594,-1.6633902,-0.30106274,0,0,0,0
40,河北医科大学,4113010089,医药类,本科,tier_4,河北省,13,石家庄市,1301,0.09653179,0.27285487,-1.6633902,-0.78354311,0,0,0,0
41,石家庄铁道大学,4113010107,理工类,本科,tier_4,河北省,13,石家庄市,1301,-0.07635521,0.29640665,-1.6633902,-1.1741225,0,0,0,0
42,燕山大学,4113010216,理工类,本科,tier_4,河北省,13,秦皇岛市,1303,0.30266629,0.18335808,0.0637623,-0.67632525,0,0,0,0
43,中北大学,4114010110,理工类,本科,tier_4,山西省,14,太原市,1401,-0.6548617,0.03105654,-1.6633902,-1.5991647,0,0,0,0
44,太原理工大学,4114010112,理工类,本科,tier_4,山西省,14,太原市,1401,0.05663479,-0.0631506,-1.6633902,-0.37764692,0,0,1,1
45,山西财经大学,4114010125,财经类,本科,tier_4,山西省,14,太原市,1401,-0.44207771,-0.10502044,0.41169514,-0.95202831,0,0,0,0
46,辽宁大学,4121010140,综合类,本科,tier_4,辽宁省,21,沈阳市,2101,-0.10295321,0.31577145,0.59779631,-0.20916172,0,0,1,1
47,大连理工大学,4121010141,理工类,本科,tier_4,辽宁省,21,大连市,2102,1.0873073,0.17707761,0.83880543,0.499242,1,1,1,1
48,沈阳工业大学,4121010142,理工类,本科,tier_4,辽宁省,21,沈阳市,2101,-1.1203267,0.24720959,-1.6633902,-1.752333,0,0,0,0
49,东北大学,4121010145,理工类,本科,tier_4,辽宁省,21,沈阳市,2101,0.63514129,0.25610693,-1.6633902,-0.34318404,1,1,1,1
50,辽宁科技大学,4121010146,理工类,本科,tier_4,辽宁省,21,鞍山市,2103,-1.7520292,0.27442499,-1.6633902,-1.3579245,0,0,0,0
51,辽宁工程技术大学,4121010147,理工类,本科,tier_4,辽宁省,21,阜新市,2109,-1.0671307,0.17812435,-0.4424607,-2.0203777,0,0,0,0
52,大连海事大学,4121010151,理工类,本科,tier_4,辽宁省,21,大连市,2102,0.18962479,0.26605102,0.51379142,-0.36233009,0,0,1,1
53,沈阳建筑大学,4121010153,理工类,本科,tier_4,辽宁省,21,沈阳市,2101,-0.7612537,0.27233149,-1.6633902,-2.2156674,0,0,0,0
54,沈阳农业大学,4121010157,农业类,本科,tier_4,辽宁省,21,沈阳市,2101,-0.9008932,0.13625451,0.45537059,-0.94436989,0,0,0,0
55,中国医科大学,4121010159,医药类,本科,tier_4,辽宁省,21,沈阳市,2101,0.61519279,0.25610693,-1.6633902,-0.19001567,0,0,0,0
56,大连医科大学,4121010161,医药类,本科,tier_4,辽宁省,21,大连市,2102,0.21622279,0.25296669,-1.6633902,-0.29723353,0,0,0,0
57,沈阳药科大学,4121010163,医药类,本科,tier_4,辽宁省,21,沈阳市,2101,-0.23594321,0.30949098,-1.6633902,0.38819493,0,0,0,0
58,东北财经大学,4121010173,财经类,本科,tier_4,辽宁省,21,大连市,2102,0.61519279,0.25401344,0.19742742,0.4571207,0,0,0,0
59,吉林大学,4122010183,综合类,本科,tier_4,吉林省,22,长春市,2201,0.99421428,0.2121436,1.2248564,0.30012312,1,1,1,1
60,延边大学,4122010184,综合类,本科,tier_4,吉林省,22,延边朝鲜族自治州,2224,-0.5152222,-0.63153368,0.40677986,-0.43125585,0,0,1,1
61,长春理工大学,4122010186,理工类,本科,tier_4,吉林省,22,长春市,2201,-0.42877871,0.0666459,0.02547764,-0.96351594,0,0,0,0
62,东北电力大学,4122010188,理工类,本科,tier_4,吉林省,22,吉林市,2202,-0.5285212,-0.21231191,-0.69723986,-1.4230211,0,0,0,0
63,东北师范大学,4122010200,师范类,本科,tier_4,吉林省,22,长春市,2201,0.33591379,0.39375403,0.85401194,1.3072052,1,0,1,1
64,黑龙江大学,4123010212,综合类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-0.6615112,-0.05791687,0.18033928,0.84004162,0,0,0,0
65,哈尔滨工业大学,4123010213,理工类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,1.2468953,0.29588328,1.0070041,0.82089558,1,1,1,1
66,哈尔滨理工大学,4123010214,理工类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-0.8942437,0.00436452,0.49086087,-1.1549764,0,0,0,0
67,哈尔滨工程大学,4123010217,理工类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,0.68833729,0.24040574,0.52164403,-0.32020878,1,0,1,1
68,东北石油大学,4123010220,理工类,本科,tier_4,黑龙江省,23,大庆市,2306,-0.7479547,-0.46039071,-0.04570899,-1.055417,0,0,0,0
69,东北农业大学,4123010224,农业类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-0.09630371,0.26709776,0.37723132,-0.32403799,0,0,1,1
70,东北林业大学,4123010225,林业类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-0.08300471,0.18283471,0.2917964,-0.81417678,0,0,1,1
71,黑龙江中医药大学,4123010228,医药类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-1.0937287,-0.02075739,-0.0802407,0.40351177,0,0,0,0
72,哈尔滨商业大学,4123010240,财经类,本科,tier_4,黑龙江省,23,哈尔滨市,2301,-1.0006357,0.09752491,-0.46971649,-1.6719197,0,0,0,0
73,复旦大学,4131010246,综合类,本科,tier_4,上海市,31,上海市,3101,2.1312788,0.35188419,1.3683601,1.8854158,1,1,1,1
74,同济大学,4131010247,理工类,本科,tier_4,上海市,31,上海市,3101,1.8320513,0.4272499,1.1231544,0.47626674,1,1,1,1
75,上海交通大学,4131010248,综合类,本科,tier_4,上海市,31,上海市,3101,2.0647838,0.42620316,1.3369381,1.1387199,1,1,1,1
76,华东理工大学,4131010251,理工类,本科,tier_4,上海市,31,上海市,3101,0.89447178,0.38119308,0.49183325,1.0353313,1,0,1,1
77,上海理工大学,4131010252,理工类,本科,tier_4,上海市,31,上海市,3101,0.03003679,0.39898776,0.35217151,-0.71844655,0,0,0,0
78,上海海事大学,4131010254,理工类,本科,tier_4,上海市,31,上海市,3101,-0.5684182,0.43771736,0.26865049,0.10483344,0,0,0,0
79,东华大学,4131010255,理工类,本科,tier_4,上海市,31,上海市,3101,0.58194529,0.2896028,0.43762777,1.395277,0,0,1,1
80,上海电力大学,4131010256,理工类,本科,tier_4,上海市,31,上海市,3101,-1.1868217,0.37700609,0.07554887,0.30012312,0,0,0,0
81,上海应用技术大学,4131010259,理工类,本科,tier_4,上海市,31,上海市,3101,-1.4328532,0.4466147,0.32152503,-0.24745381,0,0,0,0
82,上海海洋大学,4131010264,农业类,本科,tier_4,上海市,31,上海市,3101,-1.0471822,0.32571554,-0.24566264,-0.04450572,0,0,0,1
83,上海财经大学,4131010272,财经类,本科,tier_4,上海市,31,上海市,3101,1.7788553,0.14253499,0.79680067,0.86301688,0,0,1,1
84,华东政法大学,4131010276,政法类,本科,tier_4,上海市,31,上海市,3101,0.60854329,-4.6873918,0.39648724,-1.0247833,0,0,0,0
85,上海立信会计金融学院,4131011047,财经类,本科,tier_4,上海市,31,上海市,3101,-0.5218717,-0.01709378,0.10816285,-0.99032041,0,0,0,0
86,上海电机学院,4131011458,理工类,本科,tier_4,上海市,31,上海市,3101,-1.7719777,0.45184843,-0.34758243,-1.6566028,0,0,0,0
87,上海第二工业大学,4131012044,理工类,本科,tier_4,上海市,31,上海市,3101,-1.4926987,0.40683836,-1.6633902,-0.2436246,0,0,0,0
88,南京大学,4132010284,综合类,本科,tier_4,江苏省,32,南京市,3201,1.9251443,0.17079713,1.0977242,2.0270965,1,1,1,1
89,苏州大学,4132010285,综合类,本科,tier_4,江苏省,32,苏州市,3205,0.66838879,0.12055332,0.90203386,1.7781979,0,0,1,1
90,东南大学,4132010286,综合类,本科,tier_4,江苏省,32,南京市,3201,1.4862773,0.40631498,0.90385772,0.88982134,1,1,1,1
91,南京航空航天大学,4132010287,理工类,本科,tier_4,江苏省,32,南京市,3201,0.99421428,0.45080169,0.29446291,-0.12491911,1,0,1,1
92,南京理工大学,4132010288,理工类,本科,tier_4,江苏省,32,南京市,3201,0.82132729,0.44138097,0.72678484,0.27714786,1,0,1,1
93,江苏科技大学,4132010289,理工类,本科,tier_4,江苏省,32,镇江市,3211,-0.6083152,0.42672653,0.51312537,-0.55379055,0,0,0,0
94,中国矿业大学,4132010290,理工类,本科,tier_4,江苏省,32,徐州市,3203,0.10318129,0.43091351,0.745219,0.11249186,1,0,1,1
95,南京工业大学,4132010291,理工类,本科,tier_4,江苏省,32,南京市,3201,-0.12955121,0.25191995,0.15665936,0.80940795,0,0,0,0
96,常州大学,4132010292,理工类,本科,tier_4,江苏省,32,常州市,3204,-0.7612537,0.34036998,0.35571432,-0.05982255,0,0,0,0
97,南京邮电大学,4132010293,综合类,本科,tier_4,江苏省,32,南京市,3201,0.12977929,0.44975494,0.39219299,0.69070246,0,0,0,1
98,河海大学,4132010294,理工类,本科,tier_4,江苏省,32,南京市,3201,0.57529579,0.29326641,0.85062392,-0.39296376,1,0,1,1
99,江南大学,4132010295,综合类,本科,tier_4,江苏省,32,无锡市,3202,0.51545029,0.3827632,0.77582927,0.50307121,0,0,1,1
100,南京林业大学,4132010298,林业类,本科,tier_4,江苏省,32,南京市,3201,-1.2533167,0.40160463,0.01290898,-0.56910739,0,0,0,1
101,江苏大学,4132010299,综合类,本科,tier_4,江苏省,32,镇江市,3211,-0.13620071,0.31367796,0.36276651,0.1278087,0,0,0,0
102,南京信息工程大学,4132010300,理工类,本科,tier_4,江苏省,32,南京市,3201,-0.13620071,0.43614724,-0.47152572,1.4680319,0,0,0,1
103,南京农业大学,4132010307,农业类,本科,tier_4,江苏省,32,南京市,3201,0.23617129,0.20167614,0.58259885,0.98938078,1,0,1,1
104,南京中医药大学,4132010315,医药类,本科,tier_4,江苏省,32,南京市,3201,-0.4952737,0.13677789,1.0222471,-0.70312971,0,0,0,1
105,中国药科大学,4132010316,医药类,本科,tier_4,江苏省,32,南京市,3201,0.59524429,0.4136422,0.70090813,0.44946228,0,0,1,1
106,苏州科技大学,4132010332,理工类,本科,tier_4,江苏省,32,苏州市,3205,-0.7745527,0.35711792,0.39761302,-0.18235725,0,0,0,0
107,南京审计大学,4132011287,财经类,本科,tier_4,江苏省,32,南京市,3201,0.26276929,0.40631498,-0.40796032,-0.30489195,0,0,0,0
108,西交利物浦大学,4132016403,理工类,本科,tier_4,江苏省,32,苏州市,3205,-0.13620071,0.47068986,0.84688223,1.3493265,0,0,0,0
109,浙江大学,4133010335,综合类,本科,tier_4,浙江省,33,杭州市,3301,1.7855048,0.3168182,1.5055338,0.96640553,1,1,1,1
110,杭州电子科技大学,4133010336,理工类,本科,tier_4,浙江省,33,杭州市,3301,0.00343879,0.33461288,0.04903479,0.5413633,0,0,0,0
111,浙江工业大学,4133010337,理工类,本科,tier_4,浙江省,33,杭州市,3301,0.24947029,0.32623891,0.36841445,-0.06365176,0,0,0,0
